Date,Time,GLOBAL.Flow1,GLOBAL.Volume1,GLOBAL.waterlevel
22/07/2019,22:54:25,0.025,2425374,0
22/07/2019,23:54:25,0.025,2425374,0
23/07/2019,0:54:25,0.1875,2425374,0
23/07/2019,1:54:25,0.1875,2425374,0
23/07/2019,2:54:25,0,2425374,0
23/07/2019,3:54:25,0.025,2425374,0
23/07/2019,4:54:25,0.025,2425374,0
23/07/2019,5:54:25,0,2425374,0
23/07/2019,6:54:25,0,2425374,0
23/07/2019,7:54:25,0,2425374,0
23/07/2019,8:54:25,0.1875,2425374,0
23/07/2019,9:54:25,0.025,2425374,0
23/07/2019,10:54:25,0.025,2425374,0
23/07/2019,11:54:25,0,2425374,0
23/07/2019,12:54:25,0.1875,2425374,0
23/07/2019,13:54:25,0,2425374,0
23/07/2019,14:54:25,0,2425374,0
23/07/2019,15:54:25,0.025,2425374,0
23/07/2019,16:54:25,0,2425374,0
23/07/2019,17:54:25,0,2425374,0
23/07/2019,18:54:25,0.1875,2425374,0
23/07/2019,19:54:25,0,2425374,0
23/07/2019,20:54:25,0,2425374,0
23/07/2019,21:54:25,0.1875,2425374,0
23/07/2019,22:54:25,0,2425374,0
23/07/2019,23:54:25,0.1875,2425374,0
24/07/2019,0:54:25,0.025,2425374,0
24/07/2019,1:54:25,0.1875,2425374,0
24/07/2019,2:54:25,0,2425374,0
24/07/2019,3:54:25,0,2425374,0
24/07/2019,4:54:25,0.345,2425374,0
24/07/2019,5:54:25,0.025,2425374,0
24/07/2019,6:54:25,0,2425374,0
24/07/2019,7:54:25,0,2425374,0
24/07/2019,8:54:25,0.1875,2425374,0
24/07/2019,9:54:25,0.025,2425374,0
24/07/2019,10:54:25,0,2425374,0
24/07/2019,11:54:25,0,2425374,0
24/07/2019,12:54:25,0.1875,2425374,0
24/07/2019,13:54:25,0.025,2425374,0
24/07/2019,14:54:25,0.025,2425374,0
24/07/2019,15:54:25,0.025,2425374,0
24/07/2019,16:54:25,0,2425374,0
24/07/2019,17:54:25,0,2425374,0
24/07/2019,18:54:25,0,2425374,0
24/07/2019,19:54:25,0,2425374,0
24/07/2019,20:54:25,0,2425374,0
24/07/2019,21:54:25,0.025,2425374,0
24/07/2019,22:54:25,0.1875,2425374,0
24/07/2019,23:54:25,0.025,2425374,0
25/07/2019,0:54:25,0,2425374,0
25/07/2019,1:54:25,0.1875,2425374,0
25/07/2019,2:54:25,0,2425374,0
25/07/2019,3:54:25,0.025,2425374,0
25/07/2019,4:54:25,0.1875,2425374,0
25/07/2019,5:54:25,0.025,2425374,0
25/07/2019,6:54:25,0.1875,2425374,0
25/07/2019,7:54:25,0.1875,2425374,0
25/07/2019,8:54:25,0,2425374,0
25/07/2019,9:54:25,0,2425374,0
25/07/2019,10:54:25,0,2425374,0
25/07/2019,11:54:25,0.1875,2425374,0
25/07/2019,12:54:25,0.1875,2425374,0
25/07/2019,13:54:25,0.025,2425374,0
25/07/2019,14:54:25,0,2425374,0
25/07/2019,15:54:25,0,2425374,0
25/07/2019,16:54:25,0,2425374,0
25/07/2019,17:54:25,0,2425374,0
25/07/2019,18:54:25,0.1875,2425374,0
25/07/2019,19:54:25,0.1875,2425374,0
25/07/2019,20:54:25,0,2425374,0
25/07/2019,21:54:25,0.025,2425374,0
25/07/2019,22:54:25,0.1875,2425374,0
25/07/2019,23:54:25,0.1875,2425374,0
26/07/2019,0:54:25,0.025,2425374,0
26/07/2019,1:54:25,0,2425374,0
26/07/2019,2:54:25,0,2425374,0
26/07/2019,3:54:25,0,2425374,0
26/07/2019,4:54:25,0,2425374,0
26/07/2019,5:54:25,0.1875,2425374,0
26/07/2019,6:54:25,0.025,2425374,0
26/07/2019,7:54:25,0,2425374,0
26/07/2019,8:54:25,0,2425374,0
26/07/2019,9:54:25,0,2425374,0
26/07/2019,10:54:25,0,2425374,0
26/07/2019,11:54:25,0.1875,2425374,0
26/07/2019,12:54:25,0.025,2425374,0
26/07/2019,13:54:25,0,2425374,0
26/07/2019,14:54:25,0.025,2425374,0
26/07/2019,15:54:25,0.1875,2425374,0
26/07/2019,16:54:25,0,2425374,0
26/07/2019,17:54:25,0.1875,2425374,0
26/07/2019,18:54:25,0,2425374,0
26/07/2019,19:54:25,0.025,2425374,0
